# Presence-only rows keyed by parsed syntax form and source path.
# Retirement stages are checked against canonical_stage() and cannot be edited
# independently of the Stage 1-5 cutover dependency map.
#
# The audit DETECTS: a (group, form, path) with findings but no row here (a
# new authority form or path landed and needs review), and a listed row with
# zero findings (the authority it named was retired and the row is stale). It
# does NOT track how many findings a listed (group, form, path) carries — a
# call moving between two already-listed functions in the same file, or a new
# call added alongside existing ones, changes nothing this audit reports.
#
# signature-application rows: one reviewed row per (enclosing function, file)
# for every call of an argument-check primitive under hew-types/src/. Callees are
# reduced through the parse, so method, UFCS, fully-pathed, parenthesized and
# comment-separated spellings all count, and the primitive in argument or value
# position does not.
#
# Canonical keyspace exceptions use this machine-readable comment form:
# canonical-keyspace-allow<TAB>path<TAB>table<TAB>count<TAB>owner<TAB>follow-on work<TAB>reason
# canonical-keyspace-allow	hew-hir/src/lower.rs	const_registry	1	hew-hir	a316-keyspace-registries	canonical const identity is qualified today but remains a bare local at insertion
# canonical-keyspace-allow	hew-hir/src/lower.rs	machine_ctor_registry	7	hew-hir	a316-keyspace-registries	constructor registry still passes reviewed qualified locals into the insertion sink
# canonical-keyspace-allow	hew-types/src/check/items.rs	fn_sigs	1	hew-types	a316-keyspace-fn-sigs	trait default signature restoration still inserts a reviewed qualified local
# canonical-keyspace-allow	hew-types/src/check/registration.rs	fn_sigs	4	hew-types	a316-keyspace-fn-sigs	function signature publication remains in the deferred table-family cutover
# canonical-keyspace-allow	hew-types/src/check/registration.rs	trait_defs	1	hew-types	a316-keyspace-trait-defs	trait definition publication remains in the deferred table-family cutover
group	form	path	retirement_stage	reason
call-target-authority	call-target-consumer	hew-hir/src/lower.rs	stage-4	exact checker-selected executable identity carrier
call-target-authority	call-target-consumer	hew-types/src/check/machine_effects.rs	stage-4	machine purity checking consumes checker-selected call identities and runtime families
call-target-authority	call-target-consumer	hew-types/src/check/methods.rs	stage-4	method checking consumes selected collection targets for their argument and effect contracts
call-target-authority	call-target-use	hew-hir/src/lower.rs	stage-4	exact checker-selected executable identity carrier
call-target-authority	call-target-use	hew-types/src/check/calls.rs	stage-4	exact checker-selected executable identity carrier
call-target-authority	call-target-use	hew-types/src/check/dispatch.rs	stage-4	exact checker-selected executable identity carrier
call-target-authority	call-target-use	hew-types/src/check/effects.rs	stage-4	effect inference follows selected executable identities through direct and indirect calls
call-target-authority	call-target-use	hew-types/src/check/machine_effects.rs	stage-4	machine purity classifies selected user calls and supported runtime operations
call-target-authority	call-target-use	hew-types/src/check/methods.rs	stage-4	exact checker-selected executable identity carrier
call-target-authority	call-target-use	hew-types/src/check/registration.rs	stage-4	builtin registration publishes typed runtime targets at the signature authority
call-target-authority	call-target-use	hew-types/src/check/type_members.rs	stage-4	exact checker-selected executable identity carrier
call-target-authority	call-target-variant	hew-types/src/check/dispatch.rs	stage-4	exact checker-selected executable identity carrier
checker-hir-fact-relation	hir-publication-consumer	hew-hir/src/lower.rs	stage-2	reviewed checker-to-HIR fact reads, including the new method_call_rewrites read that routes generic wire facade calls through the checker-selected WireCodec lowering and the identity-view reads that resolve an impl receiver's spelling and a peer file's span index
checker-hir-fact-relation	hir-publication-consumer	hew-hir/src/lower/fork.rs	stage-2	fork preparation consumes checked method receiver and rewrite facts before capturing child inputs
checker-hir-fact-relation	hir-publication-consumer	hew-hir/src/node.rs	stage-2	real checker/HIR produced-value carrier inventory, including the typed entry_exit_plan carrier
checker-hir-fact-relation	produced-fact-field	hew-types/src/check/types.rs	stage-2	real checker/HIR produced-value carrier inventory plus interpolation Display-selection identity
checker-hir-publication	checker-insert-call	hew-types/src/check/expressions.rs	stage-2	RC1 syntax-node authority inventory
checker-hir-publication	checker-insert-call	hew-types/src/check/methods.rs	stage-2	RC1 syntax-node authority inventory
checker-hir-publication	checker-insert-call	hew-types/src/check/resolution.rs	stage-2	RC1 syntax-node authority inventory
checker-hir-publication	checker-insert-call	hew-types/src/check/types.rs	stage-2	RC1 syntax-node authority inventory
hir-ast-boundary	expr-use:collect_emitted_events_inner	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:diagnose_poisoned_direct_call_type_args	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:fold_const_expr	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:for_in_iterable_is_place	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_builtin_hashmap_into_iter	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_builtin_vec_higher_order	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_checked_select_source	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_expr_inner	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_fluent_vec_iter_receiver	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_for_iter_desugar	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_hashmap_for_in_init	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_index_assignment	hew-hir/src/lower.rs	stage-2	Indexed assignment consumes the checker-selected mutation and source operands; typed source-shape handoff remains part of D486
hir-ast-boundary	expr-use:lower_method_call	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_race	hew-hir/src/lower/race.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_select	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_spawn	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_stmt	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:lower_unary_expr	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:make_hashmap_iter_init	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:ordinary_call_presentation_name	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:peel_range_adapter_chain	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:prepare_fork_call	hew-hir/src/lower/fork.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:record_monomorphisation	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:scan_expr_for_binop_gates	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:scan_expr_for_blocking_recv	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:scan_expr_for_private_refs	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:scan_expr_for_supervisor_spawn	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
hir-ast-boundary	expr-use:scan_expr_for_vec_index_gate	hew-hir/src/lower.rs	stage-2	D486 stage one freeze: matches hew_parser::ast::Expr variants directly instead of the checker's typed HirExprKind shape
