# scripts/corpus-floors.tsv — the tracked minimum size of every gated enumeration.
#
# A gate that enumerates a corpus, a fixture set, a symbol list or a test set
# and then compares or asserts over it proves NOTHING when the enumeration is
# empty: two empty sets are identical, an empty loop counts zero failures, and
# the gate exits 0 forever. A corpus that silently shrinks from 57 fixtures to
# 3 is the same defect in slower motion.
#
# Every such gate declares its size here and asserts it through
# scripts/lib/corpus-floor.sh (shell) or scripts/lib/corpus_floor.py (Python).
# scripts/check-corpus-floors.sh proves every row still has a live call site,
# so a floor cannot be retired by deleting the assertion that reads it.
#
# Columns (tab-separated):
#   key          the assertion key, referenced by exactly one call site
#   mode         exact — curated, stable corpus: ANY change fails, up or down
#                min   — legitimately grows: below `floor` fails, and so does
#                        anything above floor+slack (an unraised floor stops
#                        being a floor)
#   floor        expected count (exact) or tracked minimum (min)
#   slack        how far above `floor` a min corpus may drift before the gate
#                asks for the floor to be raised; `-` for exact rows
#   description  what is being counted
#
# MAINTENANCE: the counts live in the same commit as the corpus. Add fixtures,
# the gate goes red and names this file and the new number; edit the row in
# that same commit. Remove fixtures, the gate goes red and asks you to justify
# the smaller number in the commit body. There is no path where the count
# drifts without somebody saying so out loud.
#
# key	mode	floor	slack	description
asan-fixture-gates	exact	22	-	ASan/LSan fixture verdicts asserted by scripts/asan-fixture-check.sh
checked-mir-fixtures	exact	58	-	golden-MIR fixtures under examples/v05/checked-mir
ci-parity-marked-steps	exact	34	-	steps inside the CI-PARITY-STEPS blocks of .github/workflows/ci.yml
ci-required-checks	exact	38	-	entries returned by scripts/ci-preflight-dispatcher.sh --ci-required
corpus-floor-registry	exact	26	-	rows in this registry, asserted by scripts/check-corpus-floors.sh
coverage-e2e-programs	exact	70	-	examples/*.hew programs (filter-discovered: category exclusions, `fn main` required) the runtime coverage execution proof builds and runs
doc-hew-fences	min	297	60	hew fences extracted from the language guide and the spec
ffi-arity-checked-contracts	min	469	80	FFI ownership contracts whose declared arity was checked against the Rust signature
fuzz-oracle-candidates	min	646	120	ratcheted candidates collected by the fuzz-to-run oracle
fuzz-seed-corpus	min	699	120	source seeds hydrated into the parser fuzz corpus
hew-corpus-check-files	min	1685	250	tracked .hew files swept by scripts/hew-corpus-check.sh
hew-fmt-check-files	min	648	150	std/ and examples/ .hew sources checked by make hew-fmt-check
hew-suite-tests	min	1169	200	tests executed by hew test tests/hew under the suite ratchet
ll-oracle-fixtures	exact	15	-	ll-oracle corpus fixtures under tests/ll-oracle/corpus
macos-leak-oracle-binaries	exact	112	-	nonempty hew-cli memory-oracle binaries selected by scripts/macos-leak-oracle.sh, including source-discovered probes and ffi_link_e2e
macos-leak-oracle-tests	exact	745	-	test verdicts selected by scripts/macos-leak-oracle.sh, including source-discovered probes and ffi_link_e2e
o2-differential-outcomes	min	1169	200	per-test outcomes compared by the O0-vs-O2 differential gate
opaque-resource-lifecycle-facts	exact	17	-	AST-derived shipped empty opaque resource declarations with one close/release/producer lifecycle
runtime-e2e-covered-functions	min	1010	100	runtime/stdlib functions covered by the compiled Hew execution corpus
sandbox-vm-binaries	exact	4	-	VM-dependent hew-sandbox-wasm test binaries requiring whole-binary exclusion
stdlib-int-surface-files	exact	74	-	tracked std/ .hew files scanned for removed int/uint aliases
stdlib-proof-modules	exact	70	-	public stdlib modules mapped to executable proof fixtures
stdlib-ratchet-files	exact	74	-	std/ .hew files type-checked by scripts/stdlib-ratchet.sh
structural-authority-inventory	exact	171	-	reviewed compiler authority form/path rows plus exact presentation AST contexts
surface-example-expectations	exact	14	-	v0.5 surface examples compared against a paired .expected
ux-example-expectations	exact	27	-	ux and progressive tutorials compared against a paired .expected
