# module<TAB>one statement that lowers a public function body
std.arena	let _store: arena.Arena<i64> = arena.new();
std.bench	bench.suite("gate");
std.builtins	abs(1);
std.channel	channel.new(1);
std.crypto.crypto	crypto.sha256("".to_bytes());
std.crypto.encrypt	encrypt.last_open_error();
std.crypto.jwt	jwt.last_error();
std.crypto.password	password.hash("");
std.crypto.sign	sign.keypair();
std.deque	deque.new();
std.encoding.base64	base64.encode("".to_bytes());
std.encoding.binary	binary.put_u16_le(0);
std.encoding.compress	compress.gzip_compress("".to_bytes());
std.encoding.csv	csv.try_parse("");
std.encoding.hex	hex.encode("".to_bytes());
std.encoding.json	json.parse("null");
std.encoding.markdown	markdown.to_html("");
std.encoding.msgpack	msgpack.from_json("null");
std.encoding.protobuf	protobuf.new();
std.encoding.toml	toml.parse("");
std.encoding.xml	xml.parse("<root />");
std.encoding.yaml	yaml.parse("null");
std.fmt	fmt.to_hex(0);
std.fs	fs.io_error_from_errno(0);
std.io	io.read_line();
std.io.scanner	scanner.from_string("");
std.iter	let values: Vec<i64> = [1]; iter.count(values.into_iter());
std.link_monitor	link_monitor.set_partition_policy(link_monitor.PartitionPolicy.FailFast);
std.math	math.pi();
std.mem	mem.alloc(1, 1);
std.metrics	metrics.counter("gate");
std.misc.log	log.new_logger(0, 0);
std.misc.uuid	uuid.v4();
std.net	net.net_error_from_errno(0);
std.net.dns	dns.resolve("localhost");
std.net.http	http.listen_error();
std.net.http.http_async_client	http_async_client.build_get("localhost", "/");
std.net.http.http_async_server	http_async_server.request_complete("");
std.net.http.http_client	http_client.last_error();
std.net.ipnet	ipnet.is_valid("127.0.0.1");
std.net.mime	mime.from_path("file.txt");
std.net.quic	quic.new_client();
std.net.smtp	smtp.last_error();
std.net.tls	tls.connect("localhost", 443);
std.net.url	url.parse("https://example.com");
std.net.websocket	websocket.last_error();
std.observe	observe.read("gate");
std.option	option.is_some_int(Some(1));
std.os	os.args_count();
std.path	path.combine("a", "b");
std.pipeline	pipeline.from(1);
std.process	process.try_run("true");
std.random	random.seed(1);
std.result	result.is_ok_int(Ok(1));
std.semaphore	semaphore.new(1);
std.sort	sort.sort_ints([1]);
std.stream	stream.pipe(1);
std.string	string.from_int(1);
std.testing	testing.assert_eq(1, 1);
std.text.regex	regex.new("a");
std.text.semver	semver.try_parse("1.2.3");
std.text.template	template.try_parse("");
std.text.unicode	unicode.is_valid_rune(65);
std.time.cron	cron.parse("* * * * *");
std.time.datetime	datetime.now_ms();
std.vec	vec.first_i64([1]);
